-3463,980,665
-3777,1139,841
-3878,1095,982
-3668,870,854
-3279,703,578
-3210,545,491
-2844,728,376
-2531,818,304
-2874,566,472
-2893,566,459
-2944,756,477
-3203,794,453
-3204,820,538
-3355,672,723
-3435,570,780
-3417,695,772
-3210,793,625
-3289,701,496
-3643,603,767
-3884,354,863
-3346,374,793
-2804,267,611
-2626,242,472
-2916,-77,456
-3269,-34,826
-3484,281,1044
-3711,411,1118
-3426,187,941
-3286,124,860
-3202,183,579
-3098,392,142
-3131,358,64
-3191,284,167
-2522,408,53
-2413,422,-99
-2225,482,-142
-2304,512,110
-2234,430,360
-1857,551,408
-1859,500,478
-2031,462,601
-2442,551,794
-2592,691,1029
-2581,831,1102
-2542,922,1098
-2708,854,832
-2500,802,711
-2573,578,670
-2580,620,388
-2211,868,524
-2200,1082,679
-2592,1419,1357
-1974,1962,1610
-2399,1222,1512
-2580,1045,1403
-1947,1733,1531
-1579,1821,1237
-2016,1459,1663
-2229,912,1500
-2308,394,1006
-2554,752,1206
-2127,1225,1111
-1950,1177,1060
-2423,1139,1413
-2291,1207,1657
-1816,1311,1532
-1809,1424,1768
-1713,1860,1528
-803,2525,1137
-620,2404,942
-491,2267,557
-1028,1750,322
-1365,1778,866
-1427,1983,1312
-1583,1926,1568
-2558,1542,1743
-3085,1668,2246
-2491,2003,2432
-2634,1273,2009
-2694,1600,2194
-2582,1807,2204
-2166,1676,2327
-1745,1844,2345
-1610,1940,2104
-2040,1933,2228
-1865,2060,2566
-1571,1774,2543
-1301,1916,2790
-1020,2250,2839
-1064,2051,2414
-973,2082,2015
-91,2541,1900
145,2646,1911
-193,2316,2094
-670,2153,2598
-923,2355,3648
-1126,2359,4251
-1050,2469,4590
-243,2775,4441
310,3011,3648
473,3009,3404
214,2728,3238
49,2788,3412
516,2939,3860
1278,2964,3462
1125,2908,3227
665,2809,3200
1005,2787,3281
1335,3079,3242
1724,3327,3227
1770,3314,3420
2398,3684,3848
3036,3721,3590
2121,3313,3263
1991,3126,3017
1805,3131,2860
2244,3120,2627
3245,3163,2052
3398,3048,1715
2757,2594,1574
2628,2666,1711
2965,2862,1657
2253,2878,1741
1681,2706,1550
2007,2944,1390
2568,3366,1382
3145,3912,1424
3638,4015,1609
3919,4562,1925
3633,5268,2382
3709,5505,2373
4819,4720,1404
5396,4299,821
3966,3926,961
2475,3783,1805
3585,3691,1513
5009,3552,892
5526,3585,802
4591,3387,913
4028,3542,1121
4478,3269,820
4460,2991,611
4422,2806,688
3817,2120,578
2682,2412,1160
2584,2924,1496
3208,2201,1151
3259,1327,1186
3853,852,1351
3455,767,1979
2204,1089,2389
2515,1173,1722
3268,786,1164
3309,987,1445
2792,744,1813
2482,1425,2306
3158,1841,2605
4141,1751,1980
4308,1433,1473
4587,1717,1735
5477,2518,2432
4847,2023,2096
4888,1871,1955
6451,2009,1587
7326,1764,1197
4670,3863,2334
3163,2788,2676
3025,2271,2499
1616,2371,2322
2446,2406,2679
3369,1948,2490
2781,2253,2203
2800,1958,2063
3318,878,809
4185,905,549
3636,1860,1323
2779,2121,1255
2274,2065,1931
2137,2448,3220
1953,2979,3526
1645,1701,2787
226,3159,3455
727,2089,2776
1522,1365,1107
1220,1614,182
1963,1943,194
2418,2220,409
2019,2558,714
1481,2244,336
1648,2277,482
2768,2478,892
2800,2801,973
2179,2466,761
1747,1824,405
1769,2204,442
1199,3196,586
1748,4045,791
1490,4656,1052
683,4082,904
1476,4477,1122
2340,4960,1113
2191,4896,985
2090,3725,731
2251,3090,588
2507,3498,779
2299,3956,1048
1656,4006,957
1566,3930,917
1202,2553,683
951,1788,469
916,2123,463
1140,3541,771
1310,3607,735
1003,2337,449
1132,2140,430
1056,2312,395
1102,2596,424
1127,3236,565
1423,3078,743
1356,2637,455
1247,3168,245
620,3632,344
346,3572,438
476,3504,496
585,3598,524
842,3098,431
909,2814,372
966,3070,436
891,2829,334
396,2268,207
377,2351,187
172,2200,302
-48,2386,417
-131,2764,454
-200,3122,269
164,3125,308
821,3344,464
1120,2893,546
2536,2669,638
2743,2592,640
2120,2313,453
1698,2900,606
2011,3488,647
1910,2982,600
1386,3023,535
1512,3274,600
1803,3619,773
1939,3329,865
2059,3167,870
1970,2621,540
1582,2323,281
1750,2442,384
2324,2586,550
2300,2678,644
1336,2439,673
211,2261,679
739,2643,701
876,2450,620
932,2798,692
2107,4954,856
2964,5168,921
2770,3605,878
2425,2748,797
1835,1988,661
2048,2814,588
2281,3561,554
2496,4046,444
1471,3058,208
947,1562,154
990,1574,264
1197,2130,328
662,3105,330
816,3385,321
1192,2423,333
1319,2437,353
1681,2370,221
2501,3195,289
3279,3723,322
3451,3749,195
2243,2943,71
1866,2407,-3
1581,2633,46
2202,3233,43
2196,3404,-68
1672,3452,-70
1472,3602,-217
1324,3588,-408
1927,4468,-366
2775,4625,-385
2869,3690,-301
2543,2905,-170
2246,3326,-68
2577,3946,-197
2704,3751,-421
1238,2432,-416
33,2205,-421
-322,1984,-467
-271,859,-449
-349,719,-515
-1741,-1741,-394
-2997,-4612,-520
-3885,-6320,-683
-4867,-8341,-715
-6229,-9614,-710
-7630,-11001,-662
-7797,-12305,-1358
-5414,-13754,-2275
-4179,-13297,-2226
-2883,-11675,-1755
-2456,-11539,-1647
-2345,-12577,-2324
-1736,-13418,-1827
-2201,-12001,-1653
-641,-9692,-1479
-125,-8938,-1198
1414,-8777,-1120
1570,-9487,-1085
1217,-9067,-989
791,-7777,-934
706,-6638,-809
390,-5396,-825
427,-5150,-904
-391,-5040,-886
-494,-4622,-781
-850,-5386,-858
-378,-6441,-883
287,-6970,-656
373,-6200,-645
348,-5455,-684
-80,-4677,-667
161,-5161,-746
508,-6100,-847
258,-7199,-917
168,-6289,-799
-127,-5416,-842
-388,-5218,-909
-659,-5801,-1003
-866,-6875,-990
-839,-8328,-1078
-522,-8866,-1205
-74,-7990,-1298
-324,-6886,-1280
-568,-7397,-1366
-342,-8442,-1574
659,-8500,-1668
761,-7858,-1696
430,-6940,-1374
617,-5927,-1132
402,-6493,-1123
300,-7466,-1247
228,-8389,-1266
470,-7986,-1262
232,-7449,-1268
73,-6973,-1181
101,-6854,-1166
195,-7132,-1208
-112,-7285,-1376
-30,-7206,-1467
11,-6997,-1622
-634,-6616,-1614
-1021,-6705,-1649
-1164,-6853,-1633
30,-6440,-1550
586,-5774,-1452
794,-5616,-1356
474,-5218,-1221
-96,-4805,-1089
-365,-5639,-1133
-631,-6767,-1216
-357,-6949,-1251
-338,-7480,-1260
-449,-6449,-1151
-921,-5456,-994
-1259,-4818,-950
-337,-4469,-1144
-175,-4726,-1267
-705,-5311,-1365
-858,-6776,-1726
-569,-8331,-2064
-12,-8379,-2057
950,-7013,-1714
781,-6955,-1648
143,-6480,-1529
-920,-7277,-1723
-1512,-7390,-1865
-1434,-6443,-1809
-1205,-5189,-1498
-1157,-5206,-1301
-892,-5967,-1482
58,-6495,-1816
1158,-6365,-2152
1648,-5970,-2248
-6,-4046,-1933
-568,-3216,-2024
-156,-2910,-2360
-534,-1882,-1955
-1310,-1631,-1707
-597,-1652,-1271
0,-1136,-911
-13101,-11184,-1314
-8436,-4906,-625
304,-4023,-1457
186,-2689,-1105
322,-3121,-589
-245,-3676,-586
-780,-3465,-775
-504,-3084,-907
-467,-2564,-889
-583,-2719,-1381
-1020,-4569,-1445
110,-5816,-627
1628,-5527,-746
481,-4761,-644
-506,-4727,-638
2359,-5243,946
-1447,-6365,585
-1394,-6848,143
-80,-6117,-991
-862,-6015,-1062
-995,-6825,-417
-1199,-7447,-87
-1346,-6070,-32
-1139,-5165,-693
-237,-4702,-751
2140,-6087,448
1629,-6448,749
2065,-5772,534
1010,-4919,-41
-10,-5293,-173
-440,-5583,-186
-279,-7006,-426
1190,-7853,-1352
-90,-7141,-1741
-1161,-5951,-729
-183,-6342,420
249,-6640,705
81,-4623,256
-436,-5728,-447
-382,-6798,-1031
48,-6296,-853
463,-5695,-414
340,-5597,-419
467,-5000,-722
626,-4816,-863
625,-4334,-1052
499,-3996,-946
743,-4011,-466
399,-4039,-376
455,-4477,-434
616,-4096,-598
788,-4218,-642
911,-4273,-527
490,-4443,-468
497,-4508,-443
145,-3677,-676
211,-3380,-861
491,-3442,-652
436,-3093,-459
292,-3690,-367
343,-4367,-247
101,-4635,-141
89,-4233,32
-61,-4015,-44
326,-4688,-36
269,-4699,-46
-35,-4492,85
-428,-4180,67
-440,-4688,197
-573,-5613,-111
-768,-5311,-379
-922,-4447,-367
-892,-4298,-142
-705,-4513,-213
-893,-4425,-307
-1219,-3960,-355
